position,id,type,power,drive,return_count
177,181,A,混动,两驱,0
178,173,A,混动,两驱,0
179,184,A,混动,两驱,0
180,183,A,混动,两驱,0
181,174,A,混动,两驱,0
182,185,A,混动,两驱,0
183,176,A,混动,两驱,0
184,186,A,混动,两驱,0
185,187,B,燃油,两驱,0
186,179,A,混动,两驱,0
187,190,A,混动,两驱,0
188,182,A,混动,两驱,0
189,193,A,混动,两驱,0
190,192,A,混动,两驱,0
191,188,A,混动,两驱,0
192,195,A,混动,两驱,0
193,196,A,混动,两驱,0
194,199,A,燃油,两驱,0
195,189,A,混动,两驱,0
196,200,A,混动,两驱,0
197,201,A,混动,两驱,0
198,191,A,混动,两驱,0
199,202,A,混动,两驱,0
200,203,A,燃油,四驱,0
201,205,A,燃油,两驱,0
202,194,A,混动,两驱,0
203,209,A,混动,两驱,0
204,208,A,混动,两驱,0
205,197,A,混动,两驱,0
206,211,A,混动,两驱,0
207,212,A,混动,两驱,0
208,198,A,混动,两驱,0
209,215,A,混动,两驱,0
210,214,A,混动,两驱,0
211,204,A,混动,两驱,0
212,216,A,混动,两驱,0
213,206,A,混动,两驱,0
214,217,A,混动,两驱,0
215,207,A,混动,两驱,0
216,219,A,混动,两驱,0
217,210,A,混动,两驱,0
218,221,A,混动,两驱,0
219,213,A,混动,两驱,0
220,223,A,混动,两驱,0
221,222,A,混动,两驱,0
222,226,A,燃油,四驱,0
223,227,B,燃油,两驱,0
224,218,A,混动,两驱,0
225,231,A,燃油,四驱,0
226,220,A,混动,两驱,0
227,225,A,混动,两驱,0
228,232,A,混动,两驱,0
229,228,A,燃油,四驱,0
230,233,B,燃油,两驱,0
231,224,A,混动,两驱,0
232,234,B,燃油,两驱,0
233,236,B,燃油,两驱,0
234,229,A,混动,两驱,0
235,235,B,燃油,两驱,0
236,237,B,燃油,两驱,0
237,230,A,混动,两驱,0
238,238,B,燃油,两驱,0
239,240,B,燃油,两驱,0
240,239,A,混动,两驱,0
241,245,B,燃油,两驱,0
242,243,B,燃油,两驱,0
243,241,A,混动,两驱,0
244,247,A,混动,两驱,0
245,242,A,混动,两驱,0
246,251,A,混动,两驱,0
247,253,B,燃油,四驱,0
248,254,B,燃油,四驱,0
249,244,A,混动,两驱,0
250,250,A,混动,两驱,0
251,246,A,混动,两驱,0
252,255,A,混动,两驱,0
253,248,A,混动,两驱,0
254,257,A,混动,两驱,0
255,249,A,混动,两驱,0
256,258,A,混动,两驱,0
257,252,A,混动,两驱,0
258,259,A,混动,两驱,0
259,263,B,燃油,四驱,0
260,256,A,混动,两驱,0
261,262,A,混动,两驱,0
262,265,B,燃油,四驱,0
263,264,B,燃油,四驱,0
264,260,A,混动,两驱,0
265,268,B,燃油,四驱,0
266,266,B,燃油,四驱,0
267,261,A,混动,两驱,0
268,270,B,燃油,四驱,0
269,272,B,燃油,四驱,0
270,267,A,混动,两驱,0
271,275,A,混动,两驱,0
272,269,A,混动,两驱,0
273,276,A,混动,两驱,0
274,271,A,混动,两驱,0
275,280,A,混动,两驱,0
276,279,A,混动,两驱,0
277,273,A,混动,两驱,0
278,282,A,混动,两驱,0
279,283,B,燃油,四驱,0
280,284,B,燃油,四驱,0
281,274,A,混动,两驱,0
282,285,B,燃油,四驱,0
283,288,B,燃油,四驱,0
284,277,A,混动,两驱,0
285,281,A,混动,两驱,0
286,278,A,混动,两驱,0
287,290,A,混动,两驱,0
288,291,A,燃油,两驱,0
289,295,A,燃油,两驱,0
290,286,A,混动,两驱,0
291,293,A,燃油,两驱,0
292,297,A,燃油,两驱,0
293,287,A,混动,两驱,0
294,298,A,混动,两驱,0
295,301,A,混动,两驱,0
296,289,A,混动,两驱,0
297,300,A,混动,两驱,0
298,303,A,混动,两驱,0
299,292,A,混动,两驱,0
300,305,A,混动,两驱,0
301,294,A,混动,两驱,0
302,306,A,混动,两驱,0
303,307,A,燃油,两驱,0
304,308,A,燃油,两驱,0
305,296,A,混动,两驱,0
306,312,B,燃油,四驱,0
307,311,A,混动,两驱,0
308,299,A,混动,两驱,0
309,313,A,混动,两驱,0
310,314,A,混动,两驱,0
311,302,A,混动,两驱,0
312,317,A,混动,两驱,0
313,304,A,混动,两驱,0
314,318,A,混动,两驱,0
315,309,A,混动,两驱,0
316,310,A,混动,两驱,0
317,315,A,混动,两驱,0
318,316,A,混动,两驱,0
